,Optative,Subjunctive,Indicative,Participle,Infinitive,Present,Past,Future
AndrMattTisch1115,0.0,0.76,12.04,5.21,0.76,6.16,13.74,0.19
AndrMattTisch,0.02,1.35,12.64,5.61,1.39,5.24,16.3,0.86
MartAndrBonAlt,0.16,0.87,10.14,8.8,2.77,7.92,14.9,0.4
MartAndrBonPrius,0.0,1.28,8.45,7.4,1.13,5.22,14.01,0.38
PAndr2,0.05,1.32,10.43,5.6,3.31,7.43,12.87,1.02
AndrMattBon,0.0,1.58,11.51,5.22,1.43,4.99,15.28,0.76
PAndr1,0.04,1.99,9.45,4.63,4.08,6.18,13.64,0.92
AndrMattBon1115,0.0,0.72,11.45,5.55,0.63,6.17,13.51,0.27
ActAndrPrieur,0.28,0.82,10.59,7.42,2.14,8.93,12.23,0.88
MartAndrPrieurB,0.0,1.52,8.75,6.99,1.07,5.19,14.12,0.31
MartAndrBonTert,0.15,0.68,6.92,8.29,2.44,7.39,11.5,0.59
MartAndrPrieurA,0.21,1.08,11.0,7.53,2.32,9.75,12.63,0.66
ActAndrBon,0.18,1.18,10.38,6.34,2.51,9.81,10.74,0.93
